split,chemical_system,cation,anion,refrigerant,n_state_points,mode,system_mae,system_rmse
B2,[hmim]__[BF4]__R134a,[hmim],[BF4],R134a,17,M0,0.08704334997078952,0.10289583470147184
B2,[hmim]__[BF4]__R134a,[hmim],[BF4],R134a,17,Mthermo,0.08701185334254713,0.10015683160662606
B2,[hmim]__[BF4]__R134a,[hmim],[BF4],R134a,17,Mreduced,0.08730020540602067,0.100512015989724
B2,[hmim]__[BF4]__R143a,[hmim],[BF4],R143a,5,M0,0.013705007098615168,0.014392704102666232
B2,[hmim]__[BF4]__R143a,[hmim],[BF4],R143a,5,Mthermo,0.018406072445213795,0.018463733972919595
B2,[hmim]__[BF4]__R143a,[hmim],[BF4],R143a,5,Mreduced,0.02113947462290525,0.021151201175889575
B2,[hmim]__[BF4]__R152a,[hmim],[BF4],R152a,5,M0,0.015126502364873878,0.015390242461295464
B2,[hmim]__[BF4]__R152a,[hmim],[BF4],R152a,5,Mthermo,0.0053651750832796,0.006051028835040423
B2,[hmim]__[BF4]__R152a,[hmim],[BF4],R152a,5,Mreduced,0.00882047824561595,0.010078467828616978
B2,[hmim]__[BF4]__R161,[hmim],[BF4],R161,5,M0,0.004398008137941356,0.004934408602432165
B2,[hmim]__[BF4]__R161,[hmim],[BF4],R161,5,Mthermo,0.0015634773671626932,0.0018458881335010244
B2,[hmim]__[BF4]__R161,[hmim],[BF4],R161,5,Mreduced,0.006073498502373679,0.006193974087833213
B2,[hmim]__[BF4]__R227ea,[hmim],[BF4],R227ea,25,M0,0.08808957923948764,0.08862997370759931
B2,[hmim]__[BF4]__R227ea,[hmim],[BF4],R227ea,25,Mthermo,0.06117264501750468,0.06219987719372044
B2,[hmim]__[BF4]__R227ea,[hmim],[BF4],R227ea,25,Mreduced,0.05129958416521549,0.05191221078076131
B2,[hmim]__[BF4]__R236fa,[hmim],[BF4],R236fa,25,M0,0.04852643160521983,0.050069478779867144
B2,[hmim]__[BF4]__R236fa,[hmim],[BF4],R236fa,25,Mthermo,0.013109264716506005,0.01518992709634019
B2,[hmim]__[BF4]__R236fa,[hmim],[BF4],R236fa,25,Mreduced,0.010891025528311725,0.012825816740524501
B2,[hmim]__[BF4]__R245fa,[hmim],[BF4],R245fa,25,M0,0.021106262490153307,0.024524508254280587
B2,[hmim]__[BF4]__R245fa,[hmim],[BF4],R245fa,25,Mthermo,0.01685279023647309,0.0210184062816351
B2,[hmim]__[BF4]__R245fa,[hmim],[BF4],R245fa,25,Mreduced,0.019713582307100307,0.025695746372533003
B2,[hmim]__[BF4]__R32,[hmim],[BF4],R32,5,M0,0.0033076790720224327,0.003800431883928987
B2,[hmim]__[BF4]__R32,[hmim],[BF4],R32,5,Mthermo,0.0032738767564296813,0.0034125937014197498
B2,[hmim]__[BF4]__R32,[hmim],[BF4],R32,5,Mreduced,0.0018281229585409091,0.0019626227781047684
B2,[hmim]__[PF6]__R134a,[hmim],[PF6],R134a,21,M0,0.049492865410589025,0.07526197342823267
B2,[hmim]__[PF6]__R134a,[hmim],[PF6],R134a,21,Mthermo,0.039079749797071725,0.053067334556999975
B2,[hmim]__[PF6]__R134a,[hmim],[PF6],R134a,21,Mreduced,0.040181058893601095,0.05455800392216647
