npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet
1530,1530,[hmim],[FEP],R32,343.2,0.167,0.094,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1531,1531,[hmim],[FEP],R32,343.2,0.247,0.1362,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1532,1532,[hmim],[FEP],R32,343.2,0.311,0.1689,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1533,1533,[hmim],[FEP],R32,343.2,0.405,0.2133,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1534,1534,[hmim],[FEP],R32,343.2,0.493,0.2507,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1535,1535,[hmim],[FEP],R32,298.15,0.05,0.067,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1536,1536,[hmim],[FEP],R32,298.15,0.1,0.126,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1537,1537,[hmim],[FEP],R32,298.15,0.2,0.233,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1538,1538,[hmim],[FEP],R32,298.15,0.4,0.402,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1539,1539,[hmim],[FEP],R32,298.15,0.6,0.531,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1540,1540,[hmim],[FEP],R32,298.15,0.8,0.634,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1541,1541,[hmim],[FEP],R32,298.15,1.0,0.72,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs
1542,1542,[hmim],[FEP],R161,293.3,0.036,0.104,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1543,1543,[hmim],[FEP],R161,293.1,0.075,0.1958,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1544,1544,[hmim],[FEP],R161,293.3,0.113,0.2793,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1545,1545,[hmim],[FEP],R161,293.2,0.154,0.3609,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1546,1546,[hmim],[FEP],R161,293.1,0.192,0.4228,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1547,1547,[hmim],[FEP],R161,293.0,0.236,0.4895,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1548,1548,[hmim],[FEP],R161,303.1,0.045,0.0966,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1549,1549,[hmim],[FEP],R161,303.1,0.092,0.1838,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1550,1550,[hmim],[FEP],R161,303.1,0.138,0.2646,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1551,1551,[hmim],[FEP],R161,303.2,0.19,0.3446,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1552,1552,[hmim],[FEP],R161,303.2,0.236,0.4061,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1553,1553,[hmim],[FEP],R161,303.1,0.292,0.4721,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1554,1554,[hmim],[FEP],R161,313.1,0.054,0.0889,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
1555,1555,[hmim],[FEP],R161,313.1,0.111,0.1711,F[P-](F)(F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCCCC)[N+]1=CN(C=C1)C,CCF,Table S3. VLE HFCs
