sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet,ens_ae_v6,ens_ae_v7,delta_ae,abs_err_v7,pred_v7,pred_v6
[emim]__[Tf2N]__R32__283.15__0.7004,459,459,[emim],[Tf2N],R32,283.15,0.7004,0.672,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.028443905830383365,0.03444734000000005,-0.006003434169616684,0.03444734000000005,0.63755266,0.6435560941696167
[emim]__[Tf2N]__R32__298.15__0.2502,463,463,[emim],[Tf2N],R32,298.15,0.2502,0.218,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.011101552128791797,0.010269551999999987,0.00083200012879181,0.010269551999999987,0.207730448,0.2068984478712082
[emim]__[Tf2N]__R32__323.15__0.0102,469,469,[emim],[Tf2N],R32,323.15,0.0102,0.005,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.014635909795761109,0.013522196400000002,0.0011137133957611067,0.013522196400000002,0.018522196400000003,0.01963590979576111
[emim]__[Tf2N]__R32__348.05__0.8504,483,483,[emim],[Tf2N],R32,348.05,0.8504,0.254,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.009850396871566747,0.005059233999999968,0.004791162871566779,0.005059233999999968,0.25905923399999997,0.26385039687156675
[emim]__[Tf2N]__R32__303.15__0.447,499,499,[emim],[Tf2N],R32,303.15,0.447,0.2948,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.012545962524414034,0.005871750000000009,0.006674212524414025,0.005871750000000009,0.30067175,0.30734596252441404
[emim]__[Tf2N]__R32__303.15__0.148,507,507,[emim],[Tf2N],R32,303.15,0.148,0.105,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.004562690556049354,0.004219419599999996,0.0003432709560493574,0.004219419599999996,0.10921941959999999,0.10956269055604935
[emim]__[Tf2N]__R32__303.15__0.185,508,508,[emim],[Tf2N],R32,303.15,0.185,0.126,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.011419393658638005,0.012358585999999977,-0.0009391923413619718,0.012358585999999977,0.13835858599999998,0.137419393658638
[emim]__[Tf2N]__R23__298.1__0.0995,511,511,[emim],[Tf2N],R23,298.1,0.0995,0.031,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.006367721274495128,0.008531495400000005,-0.0021637741255048776,0.008531495400000005,0.039531495400000005,0.03736772127449513
[emim]__[Tf2N]__R23__298__0.5025,524,524,[emim],[Tf2N],R23,298.0,0.5025,0.152,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.0373655240535736,0.024626009999999976,0.012739514053573625,0.024626009999999976,0.17662600999999997,0.1893655240535736
[emim]__[Tf2N]__R23__323.2__0.9999,532,532,[emim],[Tf2N],R23,323.2,0.9999,0.187,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.005679884076118469,0.008677407999999998,-0.0029975239238815288,0.008677407999999998,0.178322592,0.18132011592388153
[emim]__[Tf2N]__R23__323.1__0.9996,540,540,[emim],[Tf2N],R23,323.1,0.9996,0.189,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.007431296944618221,0.010422723999999994,-0.0029914270553817734,0.010422723999999994,0.178577276,0.18156870305538178
[emim]__[Tf2N]__R23__303.17__0.1028,548,548,[emim],[Tf2N],R23,303.17,0.1028,0.02781,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.009124207379817964,0.011643910999999993,-0.002519703620182029,0.011643910999999993,0.039453910999999994,0.036934207379817965
[emim]__[Tf2N]__R152a__298.2__0.15,561,561,[emim],[Tf2N],R152a,298.2,0.15,0.243,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.012069948792457569,0.011190097999999982,0.0008798507924575871,0.011190097999999982,0.231809902,0.23093005120754242
[emim]__[Tf2N]__R152a__298.2__0.175,562,562,[emim],[Tf2N],R152a,298.2,0.175,0.28,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.007460324764251736,0.008440414000000007,-0.0009800892357482716,0.008440414000000007,0.271559586,0.2725396752357483
[emim]__[Tf2N]__R152a__298.2__0.3,579,579,[emim],[Tf2N],R152a,298.2,0.3,0.45,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.012874329090118375,0.007869771999999997,0.005004557090118378,0.007869771999999997,0.457869772,0.4628743290901184
[emim]__[Tf2N]__R152a__298.2__0.275,580,580,[emim],[Tf2N],R152a,298.2,0.275,0.417,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.013538982152938861,0.007174195999999966,0.006364786152938895,0.007174195999999966,0.42417419599999995,0.43053898215293884
[emim]__[Tf2N]__R152a__298.2__0.225,582,582,[emim],[Tf2N],R152a,298.2,0.225,0.35,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.005571335554122925,0.000655255999999993,0.004916079554122932,0.000655255999999993,0.35065525599999997,0.3555713355541229
[emim]__[Tf2N]__R134__283.2__0.05,592,592,[emim],[Tf2N],R134,283.2,0.05,0.246,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.014890775918960597,0.009212724000000005,0.005678051918960592,0.009212724000000005,0.255212724,0.2608907759189606
[emim]__[Tf2N]__R134__298.2__0.0099,598,598,[emim],[Tf2N],R134,298.2,0.0099,0.033,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.05015016925334931,0.05130180599999999,-0.0011516367466506833,0.05130180599999999,0.08430180599999999,0.08315016925334931
[emim]__[Tf2N]__R134__348.1__0.2996,620,620,[emim],[Tf2N],R134,348.1,0.2996,0.2189999999999999,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.005345844984054576,0.012883407999999985,-0.007537563015945409,0.012883407999999985,0.23188340799999999,0.22434584498405458
[emim]__[Tf2N]__R134a__323.1__0.0103,638,638,[emim],[Tf2N],R134a,323.1,0.0103,0.008,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.011529497623443602,0.013167844600000003,-0.0016383469765564006,0.013167844600000003,0.021167844600000003,0.019529497623443602
