model_family,seed,case_id,sample_id,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g_atom,P_g_graph
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,Anion,CF3,Anion:CF3,8,0.029513385146856308,0.06354725360870361,0.007943406701087952,0.1648054395042045,0.16391881450964205
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,Anion,Sulfonyl_SO2,Anion:Sulfonyl_SO2,6,0.023394934833049774,0.08491502702236176,0.01415250450372696,0.22022129288393055,0.2190365401039668
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,Anion,Sulfonimide_N,Anion:Sulfonimide_N,1,0.01994239166378975,0.024376895278692245,0.024376895278692245,0.0632198043504842,0.06287969264751424
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,Anion,Alkyl_Chain,Anion:Alkyl_Chain,2,0.012532021850347519,0.02799680270254612,0.01399840135127306,0.07260778573558471,0.07221716830313422
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,Anion,Unclassified,Anion:Unclassified,4,0.009107889607548714,0.01632963865995407,0.004082409664988518,0.042349796780674465,0.04212196213848458
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,Refri,CHF2,Refri:CHF2,6,-0.057902634143829346,0.12617602944374084,0.021029338240623474,0.3272288699589542,0.32546843476991644
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.06588470190763474,0.13964155316352844,0.027928310632705688,0.0864893617335465,0.08587739675483987
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.029867831617593765,0.04254312813282013,0.014181042710940043,0.026349807166976696,0.026163366212174174
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Anion,CF3,Anion:CF3,8,0.09903153777122498,0.17327085137367249,0.02165885642170906,0.10731823732143361,0.10655889534571669
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Anion,Sulfonyl_SO2,Anion:Sulfonyl_SO2,6,0.06836426258087158,0.22877265512943268,0.03812877585490545,0.14169421977899624,0.14069164676363458
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Anion,Sulfonimide_N,Anion:Sulfonimide_N,1,0.04540131986141205,0.061487212777137756,0.061487212777137756,0.03808314693866039,0.037813685449544554
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Anion,Alkyl_Chain,Anion:Alkyl_Chain,2,0.040738143026828766,0.07573147118091583,0.037865735590457916,0.046905569704667256,0.04657368419423914
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Anion,Unclassified,Anion:Unclassified,4,0.026741651818156242,0.04242818057537079,0.010607045143842697,0.026278612449849904,0.02609267524108825
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Refri,CF3,Refri:CF3,4,-0.18571458756923676,0.27579283714294434,0.06894820928573608,0.1708169661164092,0.16960833191057234
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Refri,CH2F,Refri:CH2F,2,-0.03828746825456619,0.5748839974403381,0.28744199872016907,0.3560641433944666,0.35354477243874277
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-0.002249348908662796,0.004673919174820185,0.0009347838349640369,0.04815772224329904,0.04810524919768404
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,-0.0022297166287899017,0.0032659214921295643,0.0006531842984259129,0.033650419316985127,0.03361375354656385
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,Anion,BF4_Core,Anion:BF4_Core,5,0.02109929732978344,0.05227155238389969,0.010454310476779938,0.5385798955384679,0.5379930545063456
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,Refri,CH2F,Refri:CH2F,3,-0.009615056216716766,0.03684302046895027,0.012281006822983423,0.37961203007241745,0.3791984017187059
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-0.0026182178407907486,0.00566289946436882,0.001132579892873764,0.05242074590065003,0.05235582007727572
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,-0.002469860715791583,0.0036510841455310583,0.0007302168291062116,0.0337976253082056,0.033755765189400905
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,Anion,PF6_Core,Anion:PF6_Core,7,0.021823227405548096,0.054196737706661224,0.007742391100951603,0.5016923633981067,0.5010709912826478
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,Refri,CH2F,Refri:CH2F,3,-0.011487842537462711,0.04451710730791092,0.01483903576930364,0.4120892459954825,0.41157885200660904
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.0012418940896168351,0.003540201112627983,0.0007080402225255966,0.017786793374399323,0.0177695944602947
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,0.0010191666660830379,0.0015224003000184894,0.00030448006000369785,0.007648893017112027,0.007641496931081923
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,Anion,BF4_Core,Anion:BF4_Core,5,0.0394410565495491,0.09703976660966873,0.019407953321933746,0.48755034611715564,0.4870789100157717
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,Refri,CH2F,Refri:CH2F,3,-0.026229651644825935,0.09693300724029541,0.0323110024134318,0.4870139622272543,0.48654304478149624
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.006783527322113514,0.01628239080309868,0.0032564781606197355,0.055482994681883877,0.05540133884102837
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,0.006263806484639645,0.009146647527813911,0.0018293295055627824,0.031167621652109415,0.031121751410820866
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,Anion,PF6_Core,Anion:PF6_Core,7,0.044602129608392715,0.11263782531023026,0.016091117901461467,0.3838185643767462,0.38325368809726934
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,Refri,CH2F,Refri:CH2F,3,-0.04455113410949707,0.15539945662021637,0.05179981887340546,0.529530787554016,0.5287514626101387
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.011515971273183823,0.026684468612074852,0.00533689372241497,0.05651184743264864,0.05643528600902701
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,0.010895309038460255,0.01574750244617462,0.0031495004892349242,0.033349753694581284,0.033304571936484784
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,Anion,BF4_Core,Anion:BF4_Core,5,0.07993294298648834,0.19141480326652527,0.038282960653305054,0.4053745388676578,0.40482534337670056
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,Refri,CH2F,Refri:CH2F,3,-0.06465955078601837,0.2383456826210022,0.0794485608736674,0.5047638402817444,0.504079993620197
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.013737387955188751,0.030842531472444534,0.006168506294488907,0.058775801572135015,0.058695368984632186
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,0.013506440445780754,0.019391188398003578,0.0038782376796007156,0.03695327805848913,0.03690270881585093
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,Anion,PF6_Core,Anion:PF6_Core,7,0.08071772754192352,0.19537684321403503,0.027910977602005005,0.37232451489261936,0.3718150020774382
