sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet,refrigerant_species_id,refrigerant_inchikey,refrigerant_formula
[emim]__[BEI]__R32__323.15__0.9993__#52,52,52,[emim],[BEI],R32,323.15,0.9993,0.4539999999999999,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__348.05__0.0101__#53,53,53,[emim],[BEI],R32,348.05,0.0101,0.001,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__348.15__0.1__#54,54,54,[emim],[BEI],R32,348.15,0.1,0.038,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__348.05__0.2501__#55,55,55,[emim],[BEI],R32,348.05,0.2501,0.095,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__348.05__0.3992__#56,56,56,[emim],[BEI],R32,348.05,0.3992,0.147,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__348.05__0.5496__#57,57,57,[emim],[BEI],R32,348.05,0.5496,0.196,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__348.05__0.6996__#58,58,58,[emim],[BEI],R32,348.05,0.6996,0.241,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__348.05__0.8504__#59,59,59,[emim],[BEI],R32,348.05,0.8504,0.283,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R32__348.05__0.9994__#60,60,60,[emim],[BEI],R32,348.05,0.9994,0.321,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[BEI]__R134__283.149__0.01__#61,61,61,[emim],[BEI],R134,283.149,0.01,0.039,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__283.123__0.05__#62,62,62,[emim],[BEI],R134,283.123,0.05,0.236,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__283.132__0.1__#63,63,63,[emim],[BEI],R134,283.13199999999995,0.1,0.43,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__283.149__0.15__#64,64,64,[emim],[BEI],R134,283.149,0.15,0.584,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__283.123__0.2__#65,65,65,[emim],[BEI],R134,283.123,0.2,0.708,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__283.149__0.25__#66,66,66,[emim],[BEI],R134,283.149,0.25,0.823,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__283.192__0.3__#67,67,67,[emim],[BEI],R134,283.19199999999995,0.3,0.98,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__298.212__0.01__#68,68,68,[emim],[BEI],R134,298.212,0.01,0.038,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__298.154__0.05__#69,69,69,[emim],[BEI],R134,298.154,0.05,0.169,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__298.154__0.1__#70,70,70,[emim],[BEI],R134,298.154,0.1,0.305,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__298.187__0.15__#71,71,71,[emim],[BEI],R134,298.18699999999995,0.15,0.417,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__298.128__0.2__#72,72,72,[emim],[BEI],R134,298.128,0.2,0.518,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__298.145__0.25__#73,73,73,[emim],[BEI],R134,298.145,0.25,0.606,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__298.229__0.3__#74,74,74,[emim],[BEI],R134,298.229,0.3,0.677,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__298.103__0.35__#75,75,75,[emim],[BEI],R134,298.10299999999995,0.35,0.735,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__323.148__0.011__#76,76,76,[emim],[BEI],R134,323.148,0.011,0.019,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
[emim]__[BEI]__R134__323.173__0.05__#77,77,77,[emim],[BEI],R134,323.173,0.05,0.086,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,REF_R134,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4
