case_id,sample_id,seed,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g,group_rank
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,44,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,5.428753725325416e-19,1.0041103967503605e-18,2.008220793500721e-19,1.0041077940345248e-06,1
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,44,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,3.343437217192915e-20,4.492431542330903e-19,8.984863084661806e-20,4.492419897672354e-07,2
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,44,Refri,CF3,Refri:CF3,4,8.744518842971591e-20,3.8867195561244844e-19,9.716798890311211e-20,3.886709481508615e-07,3
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,44,Anion,Carboxylate_COO,Anion:Carboxylate_COO,3,2.2935983245513657e-19,3.538651518638003e-19,1.1795505062126677e-19,3.53864234623587e-07,4
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,44,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,1.3079366597873976e-19,3.1202088933400707e-19,1.0400696311133569e-19,3.1202008055669296e-07,5
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,44,Anion,Alkyl_Chain,Anion:Alkyl_Chain,1,-1.2591682557580305e-20,8.415660588871491e-20,8.415660588871491e-20,8.41563877496223e-08,6
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,45,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.02108442783355713,0.06471310555934906,0.012942621111869812,0.2738983899945111,1
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,45,Refri,CF3,Refri:CF3,4,-0.005630968138575554,0.05778389424085617,0.014445973560214043,0.24457048480958124,2
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,45,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,0.010366343893110752,0.044184232130646706,0.014728077376882235,0.18700987905191813,3
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,45,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,0.021283042384311557,0.0332304120529443,0.006646082410588861,0.14064780667662943,4
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,45,Anion,Carboxylate_COO,Anion:Carboxylate_COO,3,0.028849042020738125,0.03248942457139492,0.010829808190464973,0.13751157520623075,5
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,45,Anion,Alkyl_Chain,Anion:Alkyl_Chain,1,0.0026391667779535055,0.0038657658733427525,0.0038657658733427525,0.01636186425689683,6
