sample_id,split,mode,anion,refrigerant,true_x1,pred_x1,abs_error,IG_T,IG_P,IG_ref_charge,IG_ref_logp,IG_ani_mw,IG_cat_charge,IG_cat_tpsa,IG_ref_MW,IG_cat_MW,group_abs_thermo_state,group_share_thermo_state,group_abs_ref_physical,group_share_ref_physical,group_abs_anion_physical,group_share_anion_physical,group_abs_cation_physical,group_share_cation_physical,IG_Tr,IG_Pr,IG_omega,group_abs_reduced_priors,group_share_reduced_priors
[bmim]__[PF6]__R41__283.12__1.2994,B2,Mreduced,PF6,R41,0.46299999952316284,0.5013654351234436,0.03836543560028072,0.029778461903333664,0.25476402044296265,0.06105994060635567,0.10533984005451202,-0.09370201081037521,-0.00576359499245882,-8.387556590605527e-05,-0.124819315969944,-0.020590240135788918,0.2845424711704254,0.30720086637033317,0.2912190854549408,0.31440914597860015,0.09370201081037521,0.10116359355137794,0.026437710970640182,0.028542971745559483,-0.07288943976163864,0.05665585398674011,-0.10079579055309296,0.2303410917520523,0.24868337811172275
[bmim]__[PF6]__R41__323.16__0.0999,B2,Mreduced,PF6,R41,0.017000000923871994,0.021345942467451095,0.004345941543579101,-2.1481755538843572e-05,-0.07409956306219101,0.023756422102451324,0.05008923262357712,-0.04462151974439621,-0.00151735357940197,-0.0026999455876648426,-0.04843074083328247,-0.013524875044822693,0.07412104308605194,0.13830404195813234,0.12227639555931091,0.22815814561987033,0.04462151974439621,0.08326024947867905,0.017742173746228218,0.03310550202832452,-0.10963628441095352,-0.06262067705392838,-0.10491013526916504,0.27716708183288574,0.5171719948776877
[bmim]__[PF6]__R41__348.15__0.9997,B2,Mreduced,PF6,R41,0.13099999725818634,0.1737322211265564,0.042732223868370056,0.02059805952012539,0.09022759646177292,0.03535883501172066,0.0461837574839592,-0.047399017959833145,-0.004121801350265741,0.0014436335768550634,-0.024914005771279335,-0.025076091289520264,0.11082565784454346,0.16956759645471364,0.10645660012960434,0.16288276705777607,0.047399017959833145,0.0725223536325567,0.030641525983810425,0.04688273468286213,-0.2558457553386688,0.014476063661277294,-0.08793343603610992,0.3582552671432495,0.5481445880694418
[bmim]__[PF6]__R32__298.1__0.0097,B2,Mreduced,PF6,R32,0.017999999225139618,0.017677399888634683,0.00032259933650493483,0.009983574040234089,-0.1650867909193039,0.03712041303515434,0.03526965528726578,-0.06802980601787567,-0.0014472358161583543,-0.004194167908281088,-0.07278551161289215,-0.014677430503070354,0.1750703603029251,0.30423534126443114,0.14517557621002197,0.25228451518060024,0.06802980601787567,0.11822144658975518,0.020318834111094475,0.03530984581963476,0.008147227577865124,-0.14922422170639038,-0.009477848187088966,0.1668493002653122,0.28994887380203027
[bmim]__[PF6]__R32__323.1__0.5497,B2,Mreduced,PF6,R32,0.23100000619888306,0.20832287669181823,0.022677129507064825,-0.0005816359771415591,0.03925771266222,0.04628799855709076,0.0097148846834898,-0.12094102054834366,-0.0038310703821480274,0.0022866602521389723,-0.0726984292268753,-0.03631577640771866,0.03983934968709946,0.09184844210958326,0.128701314330101,0.29671707273131953,0.12094102054834366,0.2788259449954192,0.04243350774049759,0.09782919675698662,-0.06952033936977386,0.016936222091317177,-0.015379203483462334,0.10183576494455338,0.23477934340438597
[bmim]__[PF6]__R32__298.15__0.05,B2,Mreduced,PF6,R32,0.039000000804662704,0.03689483180642128,0.0021051689982414246,0.011929387226700783,-0.14842168986797333,0.04077348858118057,0.037928082048892975,-0.07625818997621536,-0.001961852191016078,-0.0044463868252933025,-0.07926753163337708,-0.016599735245108604,0.16035108268260956,0.2788055884133677,0.15796910226345062,0.2746639921033058,0.07625818997621536,0.13259161816662265,0.02300797402858734,0.040004417992841344,0.00904928334057331,-0.13886132836341858,-0.009638874791562557,0.15754948556423187,0.2739343962765952
[bmim]__[PF6]__R23__282.7__1.2997,B2,Mreduced,PF6,R23,0.36500000953674316,0.4193874955177307,0.05438748598098753,0.09435709565877914,0.1885564625263214,-0.03191045671701431,0.029273470863699913,-0.03966205567121506,-0.007990792393684387,-0.0029256981797516346,-0.04608381539583206,-0.019815992563962936,0.28291356563568115,0.3833796258747552,0.10726774483919144,0.14535983028058558,0.03966205567121506,0.05374653573252482,0.03073248267173767,0.041645962371650976,-0.14052852988243103,0.06081899255514145,-0.07602290064096451,0.277370423078537,0.3758680457391283
[bmim]__[PF6]__R23__323.1__0.0498,B2,Mreduced,PF6,R23,0.004999999888241291,0.0009974882006645203,0.004002511687576771,-0.00406652269884944,-0.08826857805252075,-0.017547430470585823,0.016558604314923286,-0.032895833253860474,-0.0032801248598843813,-0.005095195025205612,-0.015798840671777725,-0.014727299101650715,0.09233509749174118,0.2100141887012568,0.049904875457286835,0.1135075633871161,0.032895833253860474,0.07482086357334776,0.023102618753910065,0.052546408313597484,-0.13997161388397217,-0.07202653586864471,-0.029424628242850304,0.24142277240753174,0.5491108912914827
[bmim]__[PF6]__R23__348.1__0.3997,B2,Mreduced,PF6,R23,0.032999999821186066,0.04643726646900177,0.013437266647815707,-0.013079434633255005,0.012990899384021759,-0.019021879881620407,0.015622921288013458,-0.03264520317316055,-0.005046426318585873,-0.004191957414150238,-0.012780140154063702,-0.021641036495566368,0.026070334017276764,0.06069607419603967,0.04742494225502014,0.11041315435183982,0.03264520317316055,0.0760034632709289,0.030879419296979904,0.07189242468232447,-0.2509363889694214,0.005305747967213392,-0.03626055642962456,0.29250267148017883,0.6809948748234436
[bmim]__[PF6]__R161__297.98__0.01,B2,Mreduced,PF6,R161,0.007000000216066837,0.021674729883670807,0.01467472966760397,-0.0009695010376162827,-0.17508214712142944,0.040008850395679474,0.04252631962299347,-0.0768909752368927,-0.0017574330559000373,-0.003106052055954933,-0.07230294495820999,-0.018878541886806488,0.17605164647102356,0.2503089819507253,0.15483811497688293,0.22014773337216145,0.0768909752368927,0.10932304308731833,0.023742027580738068,0.03375624637602423,0.07339169085025787,-0.14242663979530334,-0.05599617958068848,0.2718145251274109,0.38646396343280104
[bmim]__[PF6]__R161__323.13__0.3996,B2,Mreduced,PF6,R161,0.1599999964237213,0.22934885323047638,0.06934885680675507,0.004852740094065666,0.0275343619287014,0.050515901297330856,0.03920372948050499,-0.10971485078334808,-0.005959054920822382,0.001102497219108045,-0.08279688656330109,-0.034982845187187195,0.03238710016012192,0.07181018528628606,0.17251652479171753,0.3825116651071228,0.10971485078334808,0.24326487164511226,0.042044397443532944,0.09322279412924714,0.0030866246670484543,0.0079888217151165,-0.08327152580022812,0.09434697031974792,0.20919049208990145
[bmim]__[PF6]__R152a__283.2__0.0097,B2,Mreduced,PF6,R152A,0.020999999716877937,0.048333702981472014,0.027333703264594077,0.042048804461956024,-0.2389003336429596,0.060594040900468826,0.013571722432971,-0.10640154033899307,-0.001994594931602478,-0.005706655792891979,-0.07042321562767029,-0.014459878206253052,0.2809491455554962,0.29080397486104786,0.14458897709846497,0.1496607123619852,0.10640154033899307,0.11013377812820328,0.022161129862070084,0.022938473931143694,0.1837729662656784,-0.21698367595672607,-0.011254366487264633,0.4120110273361206,0.4264631031321668
[bmim]__[PF6]__R152a__298.2__0.3482,B2,Mreduced,PF6,R152A,0.4350000023841858,0.3831717550754547,0.05182824730873109,0.04218849912285805,0.013149525038897991,0.059575777500867844,0.012069935910403728,-0.18950487673282623,-0.011727427132427692,-0.002818014472723007,-0.10112495720386505,-0.03403943404555321,0.05533802509307861,0.08203469671683997,0.1727706789970398,0.2561202758726093,0.18950487673282623,0.28092753695115064,0.04858487471938133,0.07202363033242067,0.18268337845802307,0.01256345771253109,-0.013123271986842155,0.20837010443210602,0.3088938987828473
[bmim]__[PF6]__R152a__348.1__0.1002,B2,Mreduced,PF6,R152A,0.03500000014901161,0.057484491169452666,0.022484491020441054,-0.03476531431078911,-0.1061738133430481,0.04311233013868332,0.008021251298487186,-0.07527946680784225,-0.0004140001838095486,-0.0029775043949484825,-0.03641033172607422,-0.021085325628519058,0.1409391313791275,0.3089566364815518,0.08754391223192215,0.1919074738360168,0.07527946680784225,0.16502223785182196,0.024476829916238785,0.05365634773432484,-0.026582878082990646,-0.09148108959197998,-0.009874415583908558,0.1279383897781372,0.28045734492566105
